ums,nach,pers,umse,nache,perse,pdwichtig,umheute,aspekte,aufwand,behoerde,beh_grund,unsicher,datengm,ds_unter,ds_forsch,kund_dat,a_positiv,a_rsicher,a_gefahr,a_aufwand,a_kompliz,a_vorteil,a_vertrau,a_inno,a_kost,a_berat,a_proz,a_stand,a_ki,a_forsch,a_nachteil,erf_speich,si_speich,erf_intern,si_intern,erf_extunt,si_extunt,erf_forsch,si_forsch,br_zahl,br08,bges,gk9,gk4,aweight,online,vg,br04,br07
runter,runter,gleich,runter,runter,gleich,4,3,3,3,3,,2,5,1,3,3,1,1,3,5,4,1,1,3,4,4,2,2,3,1,1,2,4,2,5,2,4,2,4,1,techDL,19,10-19,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,hoch,hoch,hoch,gleich,5,5,1,3,1,mögliche Datenschutzfälle,1,5,3,3,5,3,5,1,3,2,4,5,3,5,3,5,5,3,1,3,1,5,1,5,1,5,1,5,1,IKT-Dienstleister,160,100-249,>=100,35.70454545454545,1,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,runter,gleich,gleich,hoch,4,4,2,2,3,,1,3,3,3,3,1,3,1,4,1,3,3,1,5,5,5,5,3,3,3,,,,,,,,,,techDL,45,20-49,20-99,83.43636363636364,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,2,3,3,2,3,,2,2,3,3,4,2,3,2,3,4,2,3,2,4,3,4,2,2,3,2,1,4,2,4,1,4,1,4,2,techDL,42,20-49,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,runter,gleich,gleich,1,4,2,3,3,,2,2,3,3,4,2,2,2,2,3,2,3,2,3,2,3,4,2,2,2,,,,,,,,,,techDL,8,5-9,5-19,289.140350877193,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,3,,,,3,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,techDL,7,5-9,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,gleich,hoch,gleich,gleich,2,4,2,3,3,,2,2,3,3,5,1,1,1,3,1,1,1,1,3,2,1,1,1,1,1,,,,,,,,,,IKT-Dienstleister,7,5-9,5-19,315.4047619047619,0,Infowi,IKT-Branche,IKT-Branche
runter,runter,gleich,runter,runter,gleich,5,3,3,3,3,,2,5,2,3,5,1,1,5,4,5,3,2,5,5,5,3,2,2,1,3,1,,2,5,2,4,2,1,3,Medienbranche,62,50-99,20-99,35.17073170731707,1,Infowi,Mediendienstleister,Mediendienstleister
hoch,gleich,gleich,gleich,gleich,hoch,5,4,2,3,3,,1,5,3,3,4,2,4,3,5,5,1,3,3,4,4,3,4,3,2,1,,,,,,,,,,techDL,25,20-49,20-99,83.43636363636364,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,runter,runter,runter,3,3,3,4,3,,2,5,1,3,4,1,2,1,4,5,1,3,1,3,4,1,3,1,1,3,1,2,2,2,1,2,1,3,1,techDL,12,10-19,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,hoch,gleich,gleich,gleich,2,3,2,3,3,,3,5,1,3,5,3,4,2,3,4,3,4,3,3,1,2,3,3,3,3,1,4,1,4,1,4,1,4,2,sonstigeDL,20,20-49,20-99,32.41176470588236,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,1,3,3,2,3,,3,2,3,3,4,1,1,3,4,4,1,1,3,4,4,3,2,3,3,4,1,3,1,3,1,3,1,3,1,techDL,10,10-19,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,hoch,gleich,gleich,5,5,2,2,3,,2,4,1,3,5,1,4,3,5,4,2,3,3,4,5,4,3,3,1,3,1,3,1,5,2,4,1,2,1,Werbung,53,50-99,20-99,39.93333333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,2,4,3,3,3,,3,1,3,3,2,1,2,3,4,3,1,1,3,3,4,3,3,2,1,4,,,,,,,,,,techDL,45,20-49,20-99,83.43636363636364,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,gleich,gleich,gleich,gleich,hoch,5,5,3,3,2,konkrete Fragen zu Einztelfällen,2,5,3,1,5,2,4,2,4,4,3,4,3,5,5,4,5,4,1,3,1,4,2,5,1,5,1,5,3,Medienbranche,6000,>=1000,>=100,18.17391304347826,1,Infowi,Mediendienstleister,Mediendienstleister
runter,runter,runter,gleich,runter,gleich,2,3,2,3,3,,2,3,3,3,3,1,2,2,3,3,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,3,Medienbranche,23,20-49,20-99,35.17073170731707,1,Infowi,Mediendienstleister,Mediendienstleister
gleich,gleich,gleich,gleich,gleich,gleich,4,5,1,2,1,"Hilfe zum VVT, Einschätzung Datenpanne",2,4,1,3,3,4,4,2,2,2,3,4,2,4,4,4,4,3,1,2,1,5,1,5,1,5,1,5,2,IKT-Dienstleister,14,10-19,5-19,315.4047619047619,1,Infowi,IKT-Branche,IKT-Branche
runter,runter,gleich,runter,runter,gleich,5,4,3,3,1,,3,5,1,3,3,1,3,1,5,5,4,4,4,5,5,5,4,2,3,3,2,4,1,4,1,4,1,1,2,Werbung,70,50-99,20-99,39.93333333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,hoch,hoch,gleich,gleich,5,5,2,3,3,,2,5,3,3,5,2,3,2,5,5,1,2,4,5,5,5,5,4,,3,1,5,1,5,1,,1,3,3,techDL,58,50-99,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,3,5,3,3,3,,2,3,1,3,2,1,1,4,4,5,3,1,5,5,3,1,1,5,3,4,,,,,,,,,,techDL,160,100-249,>=100,27.52,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,hoch,hoch,hoch,hoch,4,5,2,3,1,"Klarstellungen, z.B. Office 365",2,5,3,3,5,1,4,1,5,4,1,2,4,5,5,4,4,3,1,5,1,4,2,2,1,4,1,4,2,techDL,388,250-499,>=100,27.52,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,runter,gleich,gleich,gleich,3,4,3,2,3,,2,3,3,3,3,1,2,2,3,4,2,3,2,4,2,4,4,2,1,4,2,3,1,4,2,2,1,4,2,IKT-Dienstleister,50,50-99,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
runter,runter,,gleich,runter,gleich,4,5,3,4,3,,1,5,3,3,5,1,2,4,5,5,3,,,4,5,4,5,1,5,3,1,5,2,2,1,4,1,5,2,Werbung,14,10-19,5-19,169.0416666666667,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,gleich,hoch,hoch,hoch,3,4,2,2,3,,3,4,3,3,1,1,5,1,3,4,3,3,1,3,1,5,5,1,1,3,1,3,1,3,1,3,1,3,1,techDL,21,20-49,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,hoch,gleich,gleich,gleich,gleich,4,4,2,2,3,,2,4,1,1,4,3,4,4,2,3,3,4,2,2,2,4,4,3,2,3,1,3,1,2,1,2,1,2,3,FuE,21,20-49,20-99,26.85714285714286,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,hoch,gleich,hoch,hoch,5,4,2,4,2,,1,5,3,3,5,3,5,1,4,3,2,4,3,5,5,5,3,4,5,3,1,5,2,3,1,5,1,5,1,IKT-Dienstleister,63,50-99,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
hoch,hoch,hoch,hoch,hoch,gleich,4,3,3,3,3,,3,4,1,3,,1,3,2,4,4,2,2,3,4,3,4,3,3,1,2,,,,,,,,,,ReSteuWip,38,20-49,20-99,86.62222222222222,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,runter,hoch,hoch,gleich,5,5,3,4,3,,1,4,2,3,2,1,2,2,5,5,1,1,4,5,5,4,2,3,1,3,1,5,1,3,1,5,1,5,1,IKT-Dienstleister,25,20-49,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,hoch,gleich,gleich,gleich,5,5,2,2,3,,1,5,3,3,4,1,3,1,1,1,1,1,1,5,1,3,3,1,1,1,1,3,2,3,1,3,1,3,1,IKT-Hardware,40,20-49,20-99,14.84848484848485,1,Infowi,IKT-Branche,IKT-Branche
runter,gleich,runter,gleich,hoch,runter,3,4,2,3,3,,2,3,1,3,3,4,4,2,4,3,2,3,2,4,4,4,3,2,4,2,,2,,2,,2,,2,2,UBeratung,27,20-49,20-99,96.14285714285714,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,,,,1,3,3,3,,,,,,,,1,3,4,4,3,2,1,3,2,4,3,3,1,1,1,,,,,,,,,,IKT-Dienstleister,8,5-9,5-19,315.4047619047619,0,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,hoch,gleich,hoch,gleich,4,5,2,2,3,,1,5,3,3,3,4,4,1,3,3,2,2,2,4,1,4,3,3,1,2,2,4,1,4,1,5,1,5,2,IKT-Dienstleister,46,20-49,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
runter,runter,runter,gleich,gleich,runter,3,5,2,3,3,,2,2,3,3,4,1,3,2,5,4,2,3,4,4,4,4,3,3,,4,1,5,1,4,1,4,1,4,1,techDL,130,100-249,>=100,27.52,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,runter,runter,gleich,2,3,3,,3,,3,2,1,3,,1,3,1,5,4,2,2,4,2,2,3,2,4,1,1,,,,,,,,,,Werbung,10,10-19,5-19,169.0416666666667,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,runter,runter,runter,5,5,3,4,1,Datenschutz-Vorfall,2,5,1,1,5,1,2,4,5,5,1,4,5,5,5,4,4,5,4,5,1,4,2,4,1,4,1,4,1,Werbung,85,50-99,20-99,39.93333333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,1,5,2,3,3,,2,3,3,3,5,3,5,1,4,3,1,3,1,3,4,2,3,1,1,1,1,4,1,3,1,3,1,3,2,FuE,11,10-19,5-19,67.42105263157895,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,hoch,hoch,hoch,gleich,hoch,5,3,3,2,3,,2,2,3,3,4,1,2,2,3,3,1,1,4,3,3,2,2,2,2,4,1,4,2,,1,4,1,4,1,sonstigeDL,8,5-9,5-19,114.8181818181818,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,gleich,gleich,gleich,gleich,gleich,,5,2,3,3,,1,5,3,3,4,1,2,2,4,2,1,2,2,4,5,4,2,5,5,4,,,,,,,,,,Sonstiges VG,217,100-249,>=100,91.66292134831461,0,VG,VG,Sonstiges VG
hoch,gleich,hoch,hoch,hoch,hoch,5,5,2,3,3,,1,5,1,,5,3,4,,4,4,3,4,2,4,4,4,4,4,2,2,1,5,2,5,1,5,1,5,3,FuE,3200,>=1000,>=100,19.375,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,runter,runter,gleich,5,5,2,4,3,,1,5,3,3,5,1,5,1,5,5,1,5,1,5,1,5,5,1,1,1,1,,2,1,1,5,1,5,1,IKT-Dienstleister,22,20-49,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,gleich,gleich,gleich,gleich,5,5,2,3,3,,1,5,3,3,5,3,4,2,4,3,2,4,2,4,4,4,4,3,2,2,,,,,,,,,,Medienbranche,6,5-9,5-19,130.2916666666667,0,Infowi,Mediendienstleister,Mediendienstleister
runter,gleich,gleich,hoch,gleich,gleich,5,5,2,3,3,,1,5,3,3,5,1,3,1,2,2,3,3,3,3,4,3,1,1,1,3,1,5,1,5,1,5,2,5,1,ReSteuWip,134,100-249,>=100,22.07692307692308,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,,1,5,2,2,,,1,5,3,3,5,1,3,1,5,3,1,1,1,5,5,5,1,1,1,1,1,5,1,5,1,5,1,5,1,FuE,84,50-99,20-99,26.85714285714286,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,hoch,hoch,hoch,hoch,1,5,2,2,3,,1,5,3,3,5,3,3,1,3,3,2,3,2,3,3,4,3,2,2,3,1,4,2,4,1,4,1,4,1,IKT-Dienstleister,85,50-99,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
runter,runter,gleich,gleich,gleich,gleich,4,5,1,2,3,,1,5,2,2,5,4,4,1,2,2,4,4,2,3,3,3,3,4,4,3,1,5,1,5,1,5,1,5,2,IKT-Dienstleister,50,50-99,20-99,127.1875,1,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,,gleich,gleich,gleich,5,5,2,4,3,,1,5,1,3,,1,3,1,5,5,1,5,3,5,5,5,5,3,1,5,,,,,,,,,,UBeratung,10,10-19,5-19,205.9583333333333,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,4,5,3,3,3,,1,5,1,2,4,1,1,1,5,4,1,4,2,4,5,5,4,2,1,1,1,5,2,5,1,5,1,5,2,UBeratung,16,10-19,5-19,205.9583333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,5,4,2,3,3,,2,5,1,3,,1,4,1,4,4,1,3,3,5,5,4,4,1,1,3,,,,,,,,,,ReSteuWip,100,100-249,>=100,22.07692307692308,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,2,5,3,3,3,,2,2,3,3,5,1,4,1,4,,1,3,2,4,5,2,4,3,1,1,1,4,1,4,1,5,1,5,1,techDL,65,50-99,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,gleich,gleich,hoch,gleich,gleich,5,5,3,4,3,,1,5,3,3,4,1,1,1,5,5,1,1,3,2,5,1,1,1,1,1,1,3,2,4,1,4,1,4,2,ReSteuWip,350,250-499,>=100,22.07692307692308,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,runter,runter,runter,runter,2,5,3,3,3,,2,3,3,3,4,1,3,3,4,4,3,2,3,5,5,5,3,4,1,3,1,3,2,2,1,2,1,2,1,sonstigeDL,36,20-49,20-99,32.41176470588236,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,runter,runter,runter,3,2,2,3,3,,2,3,3,,3,1,3,1,3,3,,,,3,,,,,,,,,,,,,,,,techDL,18,10-19,5-19,289.140350877193,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,1,4,2,3,3,,1,2,3,3,3,1,5,2,5,3,1,3,1,4,5,3,4,1,1,1,,,,,,,,,,IKT-Dienstleister,4,5-9,5-19,315.4047619047619,0,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,runter,gleich,gleich,gleich,4,4,2,3,3,,1,4,1,3,4,3,4,2,4,3,2,2,2,3,4,4,3,2,3,2,2,4,2,4,1,5,1,5,1,sonstigeDL,54,50-99,20-99,32.41176470588236,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,runter,gleich,gleich,hoch,1,4,1,2,3,,1,2,1,3,5,3,4,1,2,1,3,1,1,1,1,4,3,1,1,1,,,,,,,,,,IKT-Hardware,18,10-19,5-19,74.07142857142857,0,Infowi,IKT-Branche,IKT-Branche
gleich,gleich,gleich,gleich,gleich,gleich,3,4,3,4,1,,2,4,3,3,5,3,3,3,5,5,,3,1,5,5,2,3,,3,2,,,,,,,,,,Chemie/Pharma,49,20-49,20-99,23.925,0,VG,VG,Chemie/Pharma
runter,runter,gleich,hoch,hoch,gleich,4,4,3,4,3,,3,5,3,3,3,1,1,3,5,5,1,1,2,5,5,3,3,3,4,5,1,4,1,3,2,3,2,3,3,FuE,80,50-99,20-99,26.85714285714286,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,runter,gleich,gleich,runter,5,5,2,3,3,,1,5,3,3,5,4,3,1,4,4,1,4,3,5,5,5,4,4,3,4,1,5,1,5,1,5,1,3,2,Medienbranche,108,100-249,>=100,18.17391304347826,1,Infowi,Mediendienstleister,Mediendienstleister
runter,runter,runter,hoch,hoch,gleich,3,5,3,3,3,,1,3,3,3,4,3,5,1,5,5,1,5,1,5,5,5,5,3,1,4,1,1,2,5,1,5,1,5,3,IKT-Hardware,600,500-999,>=100,8.576923076923077,1,Infowi,IKT-Branche,IKT-Branche
runter,runter,gleich,gleich,gleich,gleich,2,5,2,3,3,,1,3,3,3,4,1,1,1,4,4,1,3,1,3,5,3,3,1,1,1,2,4,1,4,1,4,1,4,1,Sonstiges VG,53,50-99,20-99,242.8137254901961,1,VG,VG,Sonstiges VG
gleich,runter,gleich,gleich,,hoch,5,4,3,2,3,,1,5,3,3,4,1,2,3,2,4,1,2,5,4,4,2,2,4,5,5,,,,,,,,,,Sonstiges VG,15,10-19,5-19,647.0133333333333,0,VG,VG,Sonstiges VG
hoch,hoch,gleich,hoch,hoch,gleich,3,5,3,4,3,,1,3,3,1,3,1,1,4,5,5,1,1,5,5,5,1,1,5,1,5,,,,,,,,,,Sonstiges VG,260,250-499,>=100,91.66292134831461,0,VG,VG,Sonstiges VG
runter,gleich,gleich,gleich,hoch,gleich,1,1,3,1,3,,3,1,3,1,3,1,1,5,5,5,1,1,5,5,1,1,1,3,1,5,,,,,,,,,,techDL,90,50-99,20-99,83.43636363636364,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,hoch,gleich,gleich,hoch,hoch,5,4,3,2,3,,2,5,1,3,3,1,1,1,3,3,1,1,2,5,5,5,3,5,1,3,1,5,2,5,1,5,1,5,2,UBeratung,16,10-19,5-19,205.9583333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,hoch,runter,gleich,hoch,3,5,2,2,1,,1,5,3,3,4,1,4,3,4,4,1,3,1,4,2,4,3,2,1,4,,,,,,,,,,Sonstiges VG,220,100-249,>=100,91.66292134831461,0,VG,VG,Sonstiges VG
runter,runter,gleich,gleich,gleich,hoch,4,5,2,3,3,,1,4,3,3,5,1,5,1,3,3,1,1,1,4,4,4,4,1,1,1,2,,2,5,1,5,1,5,1,IKT-Hardware,80,50-99,20-99,14.84848484848485,1,Infowi,IKT-Branche,IKT-Branche
runter,runter,gleich,runter,runter,gleich,2,5,3,3,3,,1,2,3,3,2,1,1,3,5,4,5,3,2,3,2,3,3,3,2,4,,,,,,,,,,Maschinenbau,32,20-49,20-99,81.19565217391305,0,VG,VG,Maschinenbau
gleich,hoch,hoch,hoch,hoch,hoch,4,4,2,3,3,,2,5,1,3,5,3,3,2,5,3,3,2,2,4,4,3,4,2,,1,,,,,,,,,,IKT-Hardware,38,20-49,20-99,14.84848484848485,0,Infowi,IKT-Branche,IKT-Branche
runter,runter,runter,gleich,gleich,gleich,1,3,2,2,3,,2,4,1,3,,1,3,1,4,4,3,3,3,4,4,4,2,4,1,3,,,,,,,,,,IKT-Dienstleister,40,20-49,20-99,127.1875,0,Infowi,IKT-Branche,IKT-Branche
runter,runter,runter,runter,runter,runter,3,3,2,3,3,,3,2,3,3,4,5,5,4,4,4,4,,5,5,5,2,2,5,5,4,,,,,,,,,,IKT-Hardware,28,20-49,20-99,14.84848484848485,0,Infowi,IKT-Branche,IKT-Branche
runter,runter,runter,gleich,gleich,gleich,2,1,2,3,3,,4,1,3,3,,1,1,3,5,5,1,1,1,4,4,1,1,5,1,5,,,,,,,,,,Sonstiges VG,86,50-99,20-99,242.8137254901961,0,VG,VG,Sonstiges VG
runter,runter,gleich,runter,runter,gleich,4,5,3,3,3,,1,4,3,3,3,1,1,1,5,5,1,1,3,5,5,3,2,1,1,3,1,4,2,3,1,5,1,5,1,Sonstiges VG,60,50-99,20-99,242.8137254901961,1,VG,VG,Sonstiges VG
runter,runter,runter,runter,runter,runter,2,5,3,2,3,,1,1,3,3,1,1,4,1,4,5,1,1,4,4,4,4,4,1,2,5,1,3,2,4,1,3,1,3,2,Sonstiges VG,8,5-9,5-19,647.0133333333333,1,VG,VG,Sonstiges VG
runter,hoch,runter,gleich,gleich,gleich,1,4,2,4,3,,1,2,3,3,5,,,,,,,,,,,,,,,,1,4,1,4,1,4,1,4,2,FuE,17,10-19,5-19,67.42105263157895,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,gleich,runter,gleich,gleich,runter,3,4,3,3,3,,3,4,3,1,4,1,2,2,4,4,1,2,3,5,3,3,4,4,1,4,2,3,2,3,1,3,1,4,4,Sonstiges VG,110,100-249,>=100,91.66292134831461,1,VG,VG,Sonstiges VG
runter,runter,runter,runter,runter,runter,3,4,3,3,3,,1,2,3,3,4,1,1,1,2,5,1,1,1,2,2,1,1,1,1,1,,,,,,,,,,Chemie/Pharma,17,10-19,5-19,25.51219512195122,0,VG,VG,Chemie/Pharma
gleich,hoch,gleich,gleich,hoch,gleich,3,3,3,4,3,,3,3,3,3,3,2,2,4,5,5,3,3,3,4,3,2,3,2,1,3,,,,,,,,,,Fahrzeugbau,5,5-9,5-19,38.76,0,VG,VG,Fahrzeugbau
gleich,gleich,gleich,gleich,gleich,gleich,,3,2,2,3,,2,3,3,,3,3,2,3,2,2,3,2,2,3,2,2,2,3,3,4,2,3,2,2,2,2,2,3,2,Medienbranche,20,20-49,20-99,35.17073170731707,1,Infowi,Mediendienstleister,Mediendienstleister
gleich,gleich,gleich,gleich,gleich,hoch,2,3,3,3,3,,2,3,3,3,3,1,3,3,1,2,3,2,4,4,3,2,2,3,1,3,,,,,,,,,,Medienbranche,14,10-19,5-19,130.2916666666667,1,Infowi,Mediendienstleister,Mediendienstleister
runter,gleich,runter,runter,gleich,gleich,2,3,3,4,3,,4,4,1,3,1,1,1,4,5,5,1,1,5,5,5,1,1,5,5,5,1,5,1,4,1,5,1,5,4,sonstigeDL,10,10-19,5-19,114.8181818181818,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,runter,gleich,hoch,hoch,gleich,5,4,2,3,3,,2,3,3,3,4,3,4,2,4,4,2,3,3,3,4,4,4,1,1,1,1,5,1,5,1,5,1,5,,Medienbranche,4,5-9,5-19,130.2916666666667,1,Infowi,Mediendienstleister,Mediendienstleister
runter,runter,gleich,gleich,gleich,gleich,5,4,3,4,3,,2,5,3,3,3,1,1,3,5,5,1,1,3,2,5,5,2,3,2,4,1,3,2,,1,5,1,5,1,Medienbranche,4,5-9,5-19,130.2916666666667,1,Infowi,Mediendienstleister,Mediendienstleister
hoch,hoch,gleich,gleich,gleich,gleich,1,1,2,1,3,,3,1,3,3,4,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,techDL,5,5-9,5-19,289.140350877193,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,hoch,hoch,hoch,hoch,2,3,3,3,3,,3,2,3,3,,1,1,4,4,4,4,2,4,5,5,2,2,3,,,,,,,,,,,,Medienbranche,40,20-49,20-99,35.17073170731707,0,Infowi,Mediendienstleister,Mediendienstleister
runter,gleich,runter,hoch,gleich,runter,5,5,2,3,3,,2,4,3,3,3,2,2,2,4,4,3,1,3,5,3,3,3,2,1,3,2,3,2,3,1,3,1,5,,techDL,50,50-99,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,3,4,2,3,3,,2,4,1,3,5,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,3,1,3,1,5,1,3,2,techDL,18,10-19,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,runter,gleich,runter,runter,gleich,4,3,2,3,3,,2,3,3,3,,1,3,2,1,1,4,1,2,1,1,1,2,3,3,1,,,,,,,,,,Werbung,25,20-49,20-99,39.93333333333333,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,runter,gleich,gleich,runter,4,3,2,3,3,,3,5,3,3,3,2,4,3,3,4,1,2,2,4,2,3,2,2,1,1,2,4,1,4,1,4,1,4,1,Medienbranche,20,20-49,20-99,35.17073170731707,1,Infowi,Mediendienstleister,Mediendienstleister
hoch,hoch,gleich,hoch,hoch,gleich,2,4,3,4,3,,3,2,3,3,1,1,1,1,5,4,1,1,3,4,3,1,4,1,1,5,1,3,2,5,1,4,1,4,1,Werbung,7,5-9,5-19,169.0416666666667,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
,gleich,gleich,,gleich,gleich,2,,,1,3,,,2,3,3,3,1,5,1,1,1,,5,,1,1,1,1,,,,1,5,1,5,1,5,1,5,,techDL,10,10-19,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,gleich,hoch,hoch,hoch,hoch,5,5,2,2,3,,1,5,3,3,5,1,3,1,4,4,1,4,1,5,5,1,1,1,5,5,1,5,2,5,2,5,1,2,3,techDL,60,50-99,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,3,5,3,4,3,,4,5,3,3,3,1,1,5,5,5,1,1,5,5,5,5,1,1,5,5,1,5,1,5,1,5,1,5,1,techDL,5,5-9,5-19,289.140350877193,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
runter,hoch,gleich,hoch,gleich,gleich,2,3,2,2,3,,2,3,1,3,4,3,3,3,,2,2,3,3,4,4,4,4,2,2,2,,,,,,,,,,techDL,8,5-9,5-19,289.140350877193,0,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
hoch,hoch,gleich,hoch,hoch,gleich,4,5,1,1,3,,1,5,3,2,5,5,5,1,2,1,2,5,1,2,2,5,4,1,3,2,2,4,1,4,2,4,2,4,2,sonstigeDL,12,10-19,5-19,114.8181818181818,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,hoch,hoch,gleich,2,3,2,2,3,,2,3,3,3,3,2,2,1,2,2,1,1,1,2,1,3,1,1,1,1,2,5,2,5,2,5,2,5,1,Werbung,30,20-49,20-99,39.93333333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,hoch,hoch,hoch,hoch,5,4,2,3,3,,2,5,3,3,3,1,2,3,5,5,1,2,3,4,3,4,3,2,1,1,1,4,2,2,1,5,1,5,2,Werbung,32,20-49,20-99,39.93333333333333,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
gleich,gleich,gleich,gleich,gleich,gleich,3,2,2,2,3,,1,3,3,3,4,3,4,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,2,3,1,3,1,2,2,techDL,27,20-49,20-99,83.43636363636364,1,Infowi,Wissensintensive Dienstleister,Wissensintensive Dienstleister
